    194108	669	649887156
    194108	462	453697805
    194115	644	603657159
    193998	225	224652861
    196090	88	83076387
    194704	146	136522468
    194912	658	1049847513
    195655	321	365374767
    194912	723	1134161962
    194912	1018	1479382420
    196197	127	154502368
    194912	287	483008215
    194912	249	413880019
    194912	421	705923873
    196199	195	233051133
    194912	1104	1568864447
    195390	324	253466572
    195390	105	85462815
    194914	22	15512509
    195165	145	193561801
    195016	40	48210927
    195915	171	301144847
    195109	221	280986574
    195109	187	221149129
    195776	446	360714618
    195774	849	1225358892
    195397	755	983113360
    195397	927	1149618115
    195915	673	971996972
    195658	361	335281924
    195251	167	292464724
    195915	232	397914912
    195397	997	1213541563
    195303	220	228714466
    196438	841	719355093
    195776	140	119010694
    195378	262	327117134
    195378	292	366906562
    195918	27	23771853
    195378	438	554723237
    195378	438	554487063
    196218	190	269402465
    196218	211	306517650
    195397	525	734622454
    195552	244	394673834
    195397	767	994774916
    195656	15	14140150
    195552	284	451573619
    195656	60	55397573
    195398	1567	1277992221
    196438	715	603685403
    195774	408	689847917
    196097	6	9103465
    195774	780	1150482829
    195530	481	663293553
    195540	198	258031589
    196239	155	160276668
    196362	49	60247297
    195552	493	722944857
    195649	98	147936803
    195552	514	747722447
    195950	240	254284647
    195552	782	1037784487
    195658	102	89538558
    195552	1025	1261394618
    195930	386	340310669
    195757	8	12898530
    195937	301	242573817
    195655	316	359495663
    195655	329	373118734
    195916	53	52539717
    195658	293	273292588
    195774	755	1123989998
    196364	679	632989807
    196197	258	385507002
    196197	316	479152228
    195948	162	289699088
    195916	190	181186230
    195915	840	1148684958
    195930	82	62802382
    195937	320	257378060
    195937	341	273520630
    195948	59	122745146
    195948	320	522676135
    196531	336	477139316
    195950	588	566880615
    195948	517	774801929
    196437	77	74125891
    196452	693	953804699
    196107	140	195253071
    196437	49	46839735
    196197	458	688652512
    196218	118	138355122
    196452	200	243499730
    196197	480	718598429
    196199	520	568995642
    196218	703	995392318
    196353	3	2238860
    196239	109	114657247
    196334	192	278994003
    196438	205	173626172
    196438	593	487458327
    196452	997	1295318674
    196452	1028	1327198649
    196452	569	797402426
    196452	1042	1341489291
    196453	238	223984785
    196453	431	390455693
    196453	1436	1267489037
    196453	1510	1329364934
    194050	261	251962087
    194050	167	148431500
    194050	1206	1116654658
    194050	334	327125578
    194050	414	401219291
    194050	239	228723399
    196203	37	30968937
    194050	822	776443269
    194151	185	184423082
    194150	359	435063145
    195776	199	167010204
    194712	101	75207060
    195776	242	201083874
    196364	1117	1031395382
    196364	484	472907475
    194429	112	107905872
    196364	972	894389067
    194076	57	65381122
    196364	1156	1066459039
    194076	534	527685037
    194076	191	209397494
    196364	246	255493935
    196364	879	802216027
    196364	153	162614800
    194115	255	230426612
    194115	268	244178121
    194115	853	801539213
    194108	834	792931724
    195398	1769	1514490708
    194151	407	385113755
    196438	819	699162222
    194210	21	21186609
    194210	158	156023857
    194150	202	248013835
    194479	80	101574995
    194479	258	309541538
    194789	477	592178882
    194119	56	50137370
    194912	1444	1883609619
    196199	344	394415523
    195265	50	22134463
    194210	258	247765404
    194151	601	563360249
    194479	515	572950289
    194315	116	156876330
    194480	1197	1037187040
    194424	471	677912556
    194315	379	467155284
    194428	366	369387010
    194424	438	632851824
    194479	377	436343603
    194424	155	190671542
    194224	14	24168597
    195016	174	203391471
    195016	196	228674208
    196107	67	95842911
    195016	209	243055078
    195016	495	530290322
    196239	438	424061979
    196107	329	428548048
    196239	760	683396508
    196239	823	730157375
    194480	280	243745518
    195774	725	1090130742
    195378	320	404642494
    195774	153	289720039
    195378	1264	1349164519
    194305	76	109021345
    194314	118	137387250
    195398	506	439030280
    194711	46	42190558
    194315	72	98499114
    194315	294	373966542
    194424	626	876390526
    194480	95	85963877
    194480	1386	1172131923
    194480	1322	1127924752
    194424	67	23146137
    194428	214	224575485
    194429	52	47318722
    195304	12	16397111
    196200	33	30167941
    195396	84	80164998
    194533	478	655696972
    194702	161	166199284
    194480	58	52354732
    196531	195	253993750
    194702	84	88279356
    194533	847	1024213857
    195552	295	467348854
    194644	99	107473195
    194644	276	286415849
    194691	123	143763303
    194825	192	236552115
    194699	91	111553404
    195552	1650	1809654904
    195658	282	263103173
    194699	243	286151916
    194699	243	286704742
    194735	63	44590972
    194735	63	45266887
    194702	71	74466156
    195379	22	22639558
    195529	35	59984437
    194712	471	332028302
    195304	693	835043603
    195552	476	701841126
    194778	62	29032603
    194778	185	240500531
    194789	381	486274692
    194480	528	480019268
    196453	220	207218717
    198210	5	3054776
    198271	283	351123709
    198955	1258	1303232508
