
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Electrons/Jun11/SingleEle-Run2012B-13Jul2012_nominal.root 1
total events =  3426 , cuts: trigSigEle_path==1 && lepEt > 30 && eMVA > 0.90 && lepIso <0.1 && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*   253875 *    196453 *       506 * 452311995 *
*   254893 *    194119 *       170 * 150863035 *
*   257335 *    193998 *       134 * 114218127 *
*   257753 *    193998 *       175 * 165655418 *
*   258910 *    194108 *       373 * 361503594 *
*   261975 *    196027 *        43 *  67757736 *
*   263440 *    194076 *       114 * 128289639 *
*   263828 *    194076 *       128 * 143307339 *
*   270204 *    196239 *       617 * 572786766 *
*   271734 *    196438 *       919 * 787795822 *
*   272697 *    194108 *       621 * 606124076 *
*   275466 *    195113 *       500 * 589968138 *
*   280280 *    194464 *       102 * 151155077 *
*   288257 *    195774 *       279 * 497910442 *
*   295648 *    196453 *      1462 * 1.289e+09 *
*   297089 *    196453 *      1507 * 1.326e+09 *
*   299628 *    194108 *       400 * 389747659 *
*   303991 *    194108 *       173 * 135092067 *
*   304015 *    194108 *       174 * 136945216 *
*   304098 *    194108 *       174 * 136573085 *
*   308040 *    194315 *       447 * 537612374 *
*   309449 *    194464 *        62 *  93558081 *
*   311616 *    194050 *      1017 * 956565599 *
*   311787 *    194050 *      1023 * 961394445 *
*   315664 *    195948 *       580 * 848680104 *
*   320962 *    195530 *       107 * 169160069 *
*   321298 *    195649 *       111 * 166875070 *
*   324574 *    193998 *       194 * 188334548 *
*   329205 *    196453 *      1508 * 1.327e+09 *
*   331396 *    196495 *       192 * 156403891 *
*   332749 *    193998 *       179 * 169960227 *
*   334226 *    194027 *        84 *  60676868 *
*   336631 *    196027 *       177 * 265477798 *
*   344453 *    194108 *       431 * 421991607 *
*   344904 *    194455 *        82 *  88013437 *
*   345734 *    194455 *        88 *  98580226 *
*   347422 *    196249 *        91 *  81519045 *
*   347793 *    194778 *        61 *  27185192 *
*   349666 *    195016 *       177 * 207225837 *
*   350731 *    195016 *       212 * 246358264 *
*   351732 *    194108 *       858 * 817922789 *
*   352444 *    194119 *        54 *  48486332 *
*   352643 *    194119 *        73 *  65521592 *
*   353254 *    196438 *      1186 * 1.012e+09 *
*   354964 *    195757 *       182 * 299005256 *
*   356993 *    195775 *       112 * 104845373 *
*   357435 *    196364 *       101 * 109203961 *
*   359938 *    195552 *      1567 * 1.735e+09 *
*   363278 *    194117 *        17 *  15879338 *
*   368565 *    194108 *       127 *  77095352 *
*   371866 *    195398 *       355 * 305156755 *
*   374214 *    194711 *       565 * 477103207 *
*   374953 *    196364 *      1158 * 1.068e+09 *
*   376711 *    193998 *       238 * 238573922 *
*   377139 *    193998 *       262 * 266136200 *
*   379758 *    195378 *      1066 * 1.188e+09 *
*   389567 *    194115 *       141 * 116341552 *
*   391294 *    194150 *        72 *  64885591 *
*   392339 *    193998 *       245 * 247294863 *
*   395182 *    195390 *       138 * 111356490 *
*   400142 *    194224 *        19 *  31885213 *
*   401714 *    195950 *      1235 * 1.130e+09 *
*   401926 *    195950 *      1249 * 1.142e+09 *
*   404557 *    194108 *       583 * 571133154 *
*   407185 *    194533 *       332 * 466202490 *
*   409759 *    195655 *       478 * 522186483 *
*   414304 *    193998 *       274 * 279251261 *
*   415010 *    194108 *       247 * 224176179 *
*   419257 *    196453 *       669 * 581367473 *
*   419384 *    196453 *       674 * 585481695 *
*   426143 *    195918 *        35 *  30420613 *
*   428374 *    194108 *       611 * 597428792 *
*   434756 *    195930 *       580 * 513821197 *
*   435644 *    196364 *       165 * 174566132 *
*   438475 *    193999 *        29 *  30528660 *
*   440294 *    195304 *       308 * 402359221 *
*   443579 *    196364 *       652 * 611468876 *
*   443955 *    196364 *       655 * 613479555 *
*   445103 *    194480 *         6 *   5087572 *
*   446256 *    194912 *       124 * 169988313 *
*   446322 *    194912 *       125 * 171513628 *
*   448028 *    195530 *        68 * 109548342 *
*   448109 *    195757 *       113 * 186947418 *
*   454495 *    196200 *        50 *  45723880 *
*   455297 *    196239 *        73 *  77404770 *
*   455666 *    196239 *       813 * 722508716 *
*   456086 *    196239 *       153 * 158634370 *
*   462225 *    195655 *       331 * 375877260 *
*   462692 *    195655 *       354 * 399408982 *
*   463732 *    195655 *       340 * 385068921 *
*   464033 *    195655 *       360 * 405712722 *
*   464346 *    195655 *       378 * 424138343 *
*   465887 *    195656 *       166 * 151420307 *
*   466026 *    195919 *        11 *   8718614 *
*   466365 *    196239 *       867 * 771468997 *
*   473682 *    196453 *      1311 * 1.158e+09 *
*   475066 *    194480 *       159 * 141740867 *
*   475279 *    194480 *       116 * 104455860 *
*   475796 *    194735 *       106 * 118910313 *
*   476227 *    194644 *        57 *  62495026 *
*   481080 *    195399 *       247 * 201500110 *
*   482337 *    195399 *       308 * 249825932 *
*   485890 *    194699 *       246 * 289644381 *
*   487163 *    195113 *        72 *  96739945 *
*   494526 *    194712 *       239 * 173874643 *
*   495020 *    194712 *       288 * 208600654 *
*   496458 *    195147 *       543 * 676145817 *
*   498388 *    195378 *       359 * 455074088 *
*   503402 *    196364 *       510 * 494611362 *
*   506313 *    194480 *      1355 * 1.151e+09 *
*   507401 *    194912 *       285 * 478369947 *
*   507535 *    195397 *       280 * 430633305 *
*   507923 *    195915 *       467 * 725960701 *
*   515332 *    195552 *      1508 * 1.680e+09 *
*   518497 *    196197 *       170 * 234228067 *
*   520761 *    194480 *       474 * 429055003 *
*   521547 *    195304 *       250 * 333363699 *
*   525636 *    196495 *       215 * 195366896 *
*   526832 *    194480 *       400 * 357628150 *
*   527624 *    194480 *       502 * 455131838 *
*   528363 *    194480 *       538 * 489490312 *
*   537336 *    194480 *       912 * 815288828 *
*   540490 *    194712 *       302 * 218053298 *
*   541350 *    194712 *       344 * 247067961 *
*   541473 *    194712 *       376 * 268756016 *
*   544155 *    195649 *       170 * 250062310 *
*   553206 *    194480 *       549 * 499892989 *
*   554071 *    194480 *       498 * 451541119 *
*   554135 *    194480 *       506 * 459781887 *
*   558970 *    195552 *       916 * 1.165e+09 *
*   560482 *    195552 *      1523 * 1.694e+09 *
