
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Electrons/Jun11/SingleEle-Run2012B-13Jul2012_nominal.root 1
total events =  3426 , cuts: trigSigEle_path==1 && lepEt > 30 && eMVA > 0.90 && lepIso <0.1 && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*  3292962 *    194050 *       887 * 838148638 *
*  3294622 *    196364 *       594 * 564344079 *
*  3296121 *    194464 *       118 * 174761842 *
*  3296180 *    194464 *       119 * 175506500 *
*  3296485 *    194464 *       111 * 163970388 *
*  3307887 *    195304 *       440 * 551072697 *
*  3308259 *    195303 *       111 *  34607613 *
*  3309871 *    194464 *       171 * 248282386 *
*  3313828 *    195013 *       234 * 332456611 *
*  3314640 *    194439 *        99 * 124970528 *
*  3315352 *    196199 *        61 *  75254258 *
*  3315568 *    196199 *        83 * 102478024 *
*  3315879 *    196199 *        93 * 113689761 *
*  3319386 *    194050 *       829 * 782828921 *
*  3319567 *    194050 *       893 * 843845526 *
*  3321108 *    195016 *       256 * 293613839 *
*  3321332 *    195016 *       246 * 283055188 *
*  3322132 *    195016 *       259 * 296761972 *
*  3322894 *    195147 *       373 * 434146322 *
*  3323138 *    195303 *       312 * 382121337 *
*  3327839 *    195656 *       125 * 115206505 *
*  3328066 *    195656 *       139 * 127452098 *
*  3330088 *    195915 *       331 * 543385350 *
*  3330395 *    195948 *       363 * 579618694 *
*  3330563 *    195948 *       384 * 608475395 *
*  3331095 *    196453 *       906 * 784283117 *
*  3333619 *    194704 *       531 * 486204894 *
*  3337156 *    195099 *        82 *  70574724 *
*  3338135 *    194151 *       438 * 411772521 *
*  3339719 *    194151 *       583 * 545415501 *
*  3339918 *    194225 *        26 *  30065377 *
*  3341621 *    194050 *       679 * 637715250 *
*  3349453 *    195915 *       211 * 364820321 *
*  3354349 *    195916 *       174 * 166762145 *
*  3359799 *    194480 *      1105 * 967970535 *
*  3360178 *    194480 *      1165 * 1.013e+09 *
*  3361974 *    194912 *      1002 * 1.462e+09 *
*  3362546 *    194050 *       458 * 443505656 *
*  3363273 *    194050 *       562 * 537349403 *
*  3364042 *    195303 *       213 * 216838354 *
*  3371522 *    196239 *       781 * 698947491 *
*  3371530 *    196239 *       781 * 699354244 *
*  3371771 *    196239 *       783 * 700367954 *
*  3372232 *    196239 *       809 * 719734427 *
*  3376067 *    194050 *       629 * 595384229 *
*  3377398 *    195304 *      1064 * 1.152e+09 *
*  3379067 *    195398 *       408 * 353179280 *
*  3379422 *    195398 *       424 * 367400604 *
*  3379760 *    196438 *       817 * 697300946 *
*  3381737 *    196438 *       963 * 825976988 *
*  3381923 *    196438 *       967 * 829631732 *
*  3382619 *    194429 *       424 * 397574266 *
*  3387033 *    194455 *       220 * 341631701 *
*  3392468 *    195915 *        22 *  40128789 *
*  3392575 *    195915 *        23 *  41817737 *
*  3393603 *    194199 *       281 * 256786752 *
*  3395934 *    195113 *       468 * 557907494 *
*  3396307 *    195113 *       350 * 431245183 *
*  3397103 *    195378 *      1119 * 1.230e+09 *
*  3397652 *    195552 *       742 * 997866857 *
*  3399837 *    194108 *       851 * 810209809 *
*  3399840 *    194108 *       851 * 810334598 *
*  3399971 *    194108 *       852 * 811422015 *
*  3402508 *    194712 *       186 * 136692201 *
*  3403499 *    194712 *       377 * 269169678 *
*  3404372 *    196218 *       311 * 468399964 *
*  3410358 *    195113 *        93 * 124353964 *
*  3411069 *    195165 *        71 *  94837487 *
*  3412357 *    195378 *       421 * 533614993 *
*  3412922 *    195378 *       403 * 511586815 *
*  3413979 *    195552 *       352 * 545171715 *
*  3414930 *    194050 *       403 * 391037355 *
*  3416415 *    195937 *       257 * 208286492 *
*  3427429 *    195378 *       349 * 442067990 *
*  3430845 *    195113 *       115 * 153204682 *
*  3435109 *    194455 *       191 * 291067102 *
*  3435885 *    196200 *        14 *  12405206 *
*  3436010 *    196200 *        15 *  13676691 *
*  3438375 *    194050 *       426 * 413469713 *
*  3438488 *    194050 *       427 * 413919951 *
*  3438591 *    194050 *       445 * 431645706 *
*  3441568 *    195552 *        75 * 130920062 *
*  3441815 *    196453 *       860 * 738843456 *
*  3444658 *    196453 *      1084 * 954058018 *
*  3445783 *    194050 *       452 * 438339369 *
*  3447973 *    195655 *       259 * 298767366 *
*  3449682 *    195757 *        56 *  88935459 *
*  3450558 *    196203 *        54 *  45244692 *
*  3452111 *    196349 *       150 * 200194299 *
*  3452478 *    196495 *       272 * 286044621 *
*  3454700 *    194050 *       487 * 470312952 *
*  3454965 *    194050 *       505 * 486749386 *
*  3456609 *    194108 *       207 * 177012715 *
*  3457451 *    194108 *       209 * 178905663 *
*  3458040 *    194304 *        13 *  20067285 *
*  3459269 *    194424 *       591 * 833275596 *
*  3462777 *    194050 *       509 * 490269374 *
*  3463903 *    194050 *       577 * 550618264 *
*  3464771 *    195013 *       271 * 395945821 *
*  3464872 *    195013 *       272 * 396970681 *
*  3468431 *    194050 *      1324 * 1.210e+09 *
*  3469226 *    194050 *      1359 * 1.237e+09 *
*  3469805 *    194050 *      1396 * 1.265e+09 *
*  3471084 *    195552 *       720 * 974596900 *
*  3471548 *    195552 *       761 * 1.017e+09 *
*  3471668 *    195552 *       733 * 988571370 *
*  3472415 *    195758 *         5 *   7357498 *
*  3476965 *    194050 *       583 * 555837202 *
*  3478379 *    195304 *       587 * 732926425 *
*  3481602 *    196250 *       277 * 462995615 *
*  3481839 *    196250 *       425 * 667361438 *
*  3485838 *    194050 *      1658 * 1.455e+09 *
*  3486383 *    194050 *       778 * 733531963 *
*  3487109 *    194050 *      1160 * 1.079e+09 *
*  3488382 *    194199 *       134 *  80057778 *
*  3489315 *    196218 *       678 * 965698193 *
*  3492383 *    194050 *       662 * 622984399 *
*  3494050 *    194050 *      1419 * 1.282e+09 *
*  3494405 *    194050 *      1452 * 1.307e+09 *
*  3494934 *    194050 *      1493 * 1.337e+09 *
*  3496003 *    194050 *      1553 * 1.380e+09 *
*  3496278 *    194050 *      1558 * 1.384e+09 *
*  3496397 *    194050 *      1560 * 1.386e+09 *
*  3497797 *    195530 *       399 * 566431007 *
*  3501494 *    194050 *       926 * 874090260 *
*  3502047 *    194050 *      1020 * 958902870 *
*  3509987 *    195303 *       299 * 362087503 *
*  3518820 *    194480 *       173 * 153901085 *
*  3524163 *    195540 *       137 * 150786429 *
*  3527005 *    196453 *        57 *  55116823 *
*  3528091 *    194050 *       708 * 662642780 *
*  3533151 *    196452 *       612 * 852495084 *
*  3533471 *    194429 *       161 * 155732131 *
*  3536661 *    195115 *         3 *   2664135 *
*  3537788 *    194050 *       717 * 671876300 *
*  3539174 *    194050 *      1252 * 1.153e+09 *
*  3539580 *    194050 *      1407 * 1.274e+09 *
*  3539907 *    196438 *       561 * 455550512 *
*  3541625 *    196438 *      1254 * 1.066e+09 *
*  3545297 *    195147 *       306 * 326501517 *
*  3545301 *    195147 *       306 * 326705725 *
*  3548779 *    194050 *       762 * 716918258 *
*  3551709 *    195113 *       398 * 483279073 *
*  3552470 *    195113 *       482 * 571700800 *
*  3552632 *    195113 *       484 * 573479778 *
*  3554349 *    195113 *       521 * 611675425 *
*  3554802 *    195113 *       551 * 641545790 *
*  3556196 *    194050 *       770 * 725663611 *
*  3556811 *    194050 *       814 * 768869841 *
*  3556839 *    194050 *       814 * 768248687 *
*  3561456 *    195841 *        75 *  29651904 *
*  3561710 *    195841 *        76 *  32139579 *
*  3561941 *    194050 *       754 * 709104212 *
*  3563600 *    194199 *       103 *  40102411 *
*  3565333 *    194224 *       391 * 569566126 *
*  3566848 *    195164 *        28 *  41361496 *
*  3570071 *    194050 *       855 * 808366324 *
*  3573649 *    195165 *       171 * 227039137 *
*  3576038 *    194050 *       932 * 879663969 *
*  3578198 *    194199 *       127 *  71268712 *
*  3578347 *    194199 *       146 *  94793144 *
*  3579996 *    194210 *       490 * 456925523 *
*  3584753 *    194050 *      1212 * 1.121e+09 *
*  3586217 *    194050 *      1609 * 1.420e+09 *
*  3587210 *    195552 *        65 * 113668934 *
*  3587926 *    195552 *        96 * 165848267 *
*  3590184 *    196364 *       195 * 204666746 *
*  3592349 *    196438 *       333 * 274913186 *
*  3595345 *    194050 *      1454 * 1.308e+09 *
*  3595763 *    194050 *      1488 * 1.333e+09 *
*  3597365 *    194108 *       472 * 464121460 *
*  3597415 *    194108 *       472 * 464279754 *
*  3601193 *    194533 *       626 * 820130046 *
*  3601721 *    194050 *       956 * 902014350 *
*  3602371 *    194050 *       980 * 923704399 *
*  3602420 *    194050 *       981 * 924563916 *
*  3604833 *    195915 *       839 * 1.147e+09 *
*  3609354 *    194050 *      1051 * 986033090 *
*  3611103 *    194711 *       603 * 506063587 *
*  3612385 *    195774 *       592 * 932397018 *
*  3613955 *    194464 *       185 * 267732365 *
*  3615382 *    194533 *       329 * 462846660 *
*  3618911 *    194050 *      1721 * 1.498e+09 *
*  3619480 *    194199 *       219 * 184042090 *
*  3620453 *    195915 *        58 * 106397791 *
*  3621590 *    194050 *      1075 * 1.007e+09 *
*  3624174 *    196199 *       126 * 153488475 *
*  3624652 *    196199 *       172 * 207413477 *
*  3625983 *    194224 *        44 *  73889019 *
*  3627306 *    194314 *        55 *  20312097 *
*  3628006 *    194050 *      1236 * 1.141e+09 *
*  3628251 *    194050 *      1130 * 1.053e+09 *
*  3629455 *    194050 *      1251 * 1.152e+09 *
*  3629750 *    194199 *       373 * 357587297 *
*  3629896 *    195647 *        24 *  39201015 *
*  3633557 *    194052 *        43 *  40821088 *
*  3635768 *    194120 *       140 * 108572801 *
*  3641620 *    195304 *      1100 * 1.180e+09 *
*  3643944 *    194704 *       440 * 397011205 *
*  3644019 *    194704 *       441 * 398295390 *
*  3644851 *    194704 *       498 * 454197269 *
*  3655120 *    194223 *       102 *  90026652 *
*  3659073 *    194199 *       335 * 316591364 *
*  3659563 *    194199 *       366 * 350021966 *
*  3660939 *    195948 *       109 * 205574584 *
*  3665057 *    194050 *      1133 * 1.056e+09 *
*  3665114 *    194050 *      1133 * 1.056e+09 *
*  3667034 *    195398 *       729 * 622632777 *
*  3667781 *    195398 *      1299 * 1.029e+09 *
*  3672259 *    194115 *       294 * 272083884 *
*  3672549 *    194115 *       638 * 598630815 *
*  3674818 *    196239 *       844 * 747943634 *
*  3677960 *    195540 *       249 * 341582655 *
*  3679124 *    195868 *       131 * 220904569 *
*  3681944 *    195552 *       950 * 1.195e+09 *
*  3683220 *    195552 *      1409 * 1.586e+09 *
*  3693531 *    195304 *       968 * 1.074e+09 *
*  3693836 *    194050 *      1304 * 1.195e+09 *
*  3699108 *    194480 *      1278 * 1.096e+09 *
*  3699840 *    194480 *      1340 * 1.140e+09 *
*  3700761 *    194912 *      1419 * 1.862e+09 *
*  3701158 *    194912 *      1442 * 1.882e+09 *
*  3705947 *    194428 *       391 * 391562788 *
*  3706450 *    194533 *       470 * 645932635 *
*  3706941 *    195165 *       138 * 183627968 *
*  3707788 *    195165 *       177 * 234234236 *
*  3708528 *    195378 *       376 * 477520387 *
*  3709462 *    195540 *       106 *  92290697 *
*  3712267 *    194050 *      1537 * 1.369e+09 *
*  3713475 *    196202 *        69 *  63164401 *
*  3713686 *    196202 *        79 *  72461135 *
*  3713881 *    196202 *        80 *  72816152 *
*  3714720 *    196334 *       150 * 201447747 *
*  3727965 *    194050 *      1702 * 1.485e+09 *
*  3734807 *    195915 *       546 * 824695678 *
*  3742714 *    195774 *       624 * 972077025 *
*  3742734 *    195774 *       624 * 971157179 *
*  3744271 *    194050 *      1591 * 1.408e+09 *
*  3745322 *    194050 *      1649 * 1.449e+09 *
*  3748356 *    195950 *       561 * 544486127 *
*  3749422 *    194789 *       449 * 561503718 *
*  3749580 *    194789 *       414 * 523532359 *
*  3750228 *    194825 *       107 *  84113253 *
*  3751628 *    194912 *       807 * 1.238e+09 *
*  3752133 *    194912 *       866 * 1.309e+09 *
*  3753047 *    194912 *      1121 * 1.586e+09 *
*  3758243 *    195950 *       718 * 670502427 *
*  3761862 *    194050 *      1705 * 1.487e+09 *
*  3764612 *    194533 *       283 * 397932648 *
*  3767793 *    195551 *        95 *  33142509 *
*  3768839 *    196197 *        95 *  92490623 *
*  3769664 *    196197 *       207 * 299729888 *
*  3770920 *    194050 *      1761 * 1.525e+09 *
*  3773271 *    196046 *        39 *  67715759 *
*  3774200 *    196202 *        95 *  86431488 *
*  3776670 *    194897 *        76 * 137351994 *
*  3777173 *    194912 *       379 * 640098560 *
*  3778545 *    194050 *      1875 * 1.635e+09 *
*  3780390 *    195915 *       214 * 369128458 *
*  3781980 *    196349 *        67 *  34386711 *
*  3793841 *    194199 *       326 * 306274201 *
*  3793866 *    194199 *       326 * 306760160 *
*  3795253 *    195552 *       650 * 901271750 *
*  3797850 *    194199 *       285 * 261305875 *
*  3797920 *    194199 *       285 * 261402959 *
*  3798429 *    194199 *       303 * 280962622 *
*  3798578 *    194199 *       305 * 282918330 *
*  3799403 *    194117 *        38 *  35023312 *
*  3806107 *    194480 *       535 * 486677562 *
*  3810327 *    196453 *       666 * 579148573 *
*  3810426 *    196453 *       667 * 579788699 *
*  3816078 *    195016 *       321 * 361350317 *
*  3818107 *    195948 *       534 * 795129582 *
*  3819157 *    194704 *       231 * 212148721 *
*  3819495 *    194704 *       281 * 255541881 *
*  3819970 *    194704 *       350 * 312355992 *
*  3825349 *    196239 *       364 * 358595353 *
*  3826083 *    196250 *       369 * 593608867 *
*  3827440 *    195775 *       113 * 105212011 *
*  3827716 *    195929 *        11 *   8076887 *
*  3829814 *    195552 *       435 * 651524096 *
*  3830608 *    195655 *       250 * 289168956 *
*  3831536 *    194480 *        53 *  48545061 *
*  3834075 *    195950 *       356 * 365281023 *
*  3836957 *    195016 *       213 * 246680745 *
*  3839367 *    195915 *       381 * 612466254 *
*  3842666 *    194120 *       143 * 110889948 *
*  3842669 *    194120 *       143 * 111227217 *
*  3847952 *    194052 *         6 *   5219034 *
*  3849841 *    194120 *        30 *  23655173 *
*  3857844 *    194224 *       226 * 351594158 *
*  3858895 *    194643 *        91 * 120244143 *
*  3868146 *    194052 *       127 * 121100549 *
*  3868498 *    195304 *      1164 * 1.229e+09 *
*  3868616 *    195304 *      1185 * 1.245e+09 *
*  3870347 *    195868 *        43 *  76089331 *
*  3871154 *    194120 *       121 *  94262616 *
*  3874858 *    196027 *        46 *  72013181 *
*  3879209 *    195397 *       283 * 435458773 *
*  3880288 *    194789 *        56 *  78696148 *
*  3881904 *    194119 *        16 *  14361930 *
*  3881956 *    194119 *        16 *  13968633 *
*  3886190 *    194224 *       119 * 194426759 *
*  3887630 *    194533 *       193 * 264460008 *
*  3889577 *    194631 *        98 * 154063887 *
*  3893761 *    194052 *       158 * 149418562 *
*  3894726 *    194120 *        79 *  62668428 *
*  3898283 *    194150 *        58 *  43264074 *
*  3899457 *    195950 *       297 * 310145506 *
*  3903766 *    194644 *       167 * 178449075 *
*  3904266 *    195109 *       151 * 156476360 *
*  3905165 *    195399 *       212 * 173997120 *
*  3905943 *    195399 *       327 * 264272370 *
*  3907331 *    194075 *        55 *  23175310 *
*  3907873 *    194224 *        15 *  24335925 *
*  3907926 *    194224 *        15 *  24674405 *
*  3908530 *    194224 *        29 *  48402245 *
*  3910819 *    194789 *       378 * 483425308 *
*  3914220 *    194224 *        31 *  52404711 *
*  3916028 *    194210 *       315 * 297868050 *
*  3916052 *    194210 *       370 * 344846804 *
*  3920208 *    194643 *        37 *  48572051 *
*  3921281 *    196027 *       132 * 201597367 *
*  3921354 *    196027 *       132 * 201370250 *
*  3923648 *    194153 *         3 *   2295504 *
*  3925031 *    195398 *      1085 * 886834031 *
*  3927743 *    194075 *        86 *  61342322 *
*  3939453 *    194912 *      1228 * 1.688e+09 *
*  3942328 *    194224 *       181 * 287842686 *
*  3943784 *    194479 *       177 * 217562023 *
*  3944536 *    194115 *       163 * 142714208 *
*  3948202 *    194224 *       374 * 548220489 *
*  3949724 *    194315 *       172 * 228546254 *
*  3954730 *    194428 *       362 * 365506723 *
*  3957379 *    196218 *       542 * 797108782 *
*  3959507 *    196349 *       168 * 234150487 *
*  3961812 *    194076 *        12 *  13896294 *
*  3962140 *    194076 *       341 * 358176131 *
*  3964320 *    194223 *        64 *  19506679 *
*  3967158 *    196218 *       474 * 707420754 *
*  3971739 *    195552 *       671 * 923931759 *
*  3972823 *    194076 *         9 *   9581331 *
*  3972958 *    194076 *        33 *  37575009 *
*  3975229 *    195930 *       160 * 123388984 *
*  3976575 *    196364 *      1263 * 1.161e+09 *
*  3977647 *    195552 *      1423 * 1.599e+09 *
*  3980127 *    194076 *        16 *  17940725 *
*  3983278 *    194643 *       244 * 308473128 *
*  3983295 *    194643 *       244 * 307653852 *
*  3985109 *    194076 *       111 * 125115686 *
*  3998544 *    194076 *       402 * 414546150 *
*  4000211 *    194315 *       216 * 282488103 *
*  4001511 *    194076 *        45 *  51467191 *
*  4002676 *    194303 *        60 *  20494234 *
*  4003858 *    196027 *        64 * 100956664 *
*  4004128 *    196027 *        80 * 125568325 *
*  4005302 *    196239 *        15 *  16062387 *
*  4005594 *    196239 *       618 * 573043344 *
*  4006611 *    196239 *       660 * 606331980 *
*  4007250 *    196239 *       698 * 636427840 *
*  4011536 *    195647 *        31 *  49975842 *
*  4012885 *    194076 *        74 *  84459070 *
*  4013751 *    194153 *        90 *  84572034 *
*  4014318 *    195552 *       994 * 1.234e+09 *
*  4015778 *    194429 *       916 * 792426457 *
*  4017636 *    194789 *       382 * 487527531 *
*  4019136 *    194076 *       124 * 138820913 *
*  4023728 *    194076 *        89 * 100705928 *
*  4023781 *    194076 *        89 * 100924759 *
*  4025074 *    194315 *       245 * 317599081 *
*  4029486 *    194533 *       638 * 832373056 *
*  4032732 *    195304 *       488 * 611304665 *
*  4032956 *    195304 *       505 * 632741834 *
*  4033183 *    195304 *       506 * 633852010 *
*  4038375 *    194315 *       300 * 380116865 *
*  4040453 *    195948 *       539 * 801183200 *
*  4042498 *    196239 *       621 * 575391698 *
*  4045274 *    195016 *       379 * 420693110 *
*  4049813 *    195774 *       820 * 1.194e+09 *
*  4052564 *    195776 *       169 * 143243004 *
*  4058261 *    196364 *       184 * 194630147 *
*  4062807 *    194315 *       397 * 485551186 *
*  4067157 *    196250 *       306 * 505759029 *
*  4071649 *    195915 *       145 * 257972296 *
*  4072029 *    196218 *       259 * 385956897 *
*  4074341 *    194429 *       157 * 152466196 *
*  4075403 *    195552 *       703 * 957868516 *
*  4078195 *    194076 *       183 * 201828454 *
*  4078533 *    194076 *       225 * 244577129 *
*  4079721 *    196438 *       940 * 806557706 *
*  4086825 *    195396 *        59 *  32815962 *
*  4087875 *    195390 *        71 *  58327860 *
*  4092486 *    195540 *       168 * 206563814 *
*  4097128 *    195918 *         4 *   2850360 *
*  4097542 *    195950 *       893 * 813272021 *
*  4098384 *    194151 *       164 * 163069334 *
*  4102218 *    194480 *       713 * 647261724 *
*  4102793 *    194480 *       737 * 668240055 *
*  4102857 *    194480 *       737 * 668133333 *
*  4103170 *    194480 *       743 * 673004232 *
*  4107473 *    195016 *       426 * 467613183 *
*  4108953 *    194076 *       409 * 420506613 *
*  4110513 *    194644 *         6 *   6242496 *
*  4110817 *    195551 *       106 *  52256247 *
*  4110939 *    195656 *       337 * 296550545 *
*  4112263 *    195014 *         1 *    634286 *
*  4113633 *    195165 *         3 *   3245297 *
*  4115512 *    195378 *       692 * 841198982 *
*  4117023 *    194076 *       209 * 228531549 *
*  4117161 *    194076 *       212 * 231345095 *
*  4117421 *    194076 *       197 * 216063238 *
*  4123296 *    195655 *        43 *  52698285 *
*  4131111 *    196364 *       212 * 221997924 *
*  4134450 *    194150 *       207 * 254850740 *
*  4134835 *    195147 *       319 * 348288962 *
*  4137448 *    195396 *        78 *  69556023 *
*  4139825 *    194644 *        83 *  90071094 *
*  4141689 *    195016 *        86 * 103038707 *
*  4143367 *    196199 *       303 * 351257600 *
*  4144090 *    196218 *       438 * 656771690 *
*  4145948 *    194076 *       286 * 305688835 *
*  4145976 *    194076 *       325 * 343508238 *
*  4146473 *    194076 *       354 * 370407479 *
*  4147187 *    194108 *       586 * 573977421 *
*  4147951 *    194210 *        65 *  65451208 *
*  4153090 *    195950 *      1535 * 1.379e+09 *
*  4155156 *    194076 *       304 * 323248104 *
*  4158284 *    195303 *       160 * 119458812 *
*  4170085 *    196531 *       342 * 486016933 *
*  4170369 *    194429 *       701 * 628010289 *
*  4173156 *    195251 *       171 * 298615664 *
*  4183809 *    194428 *       196 * 206630770 *
*  4187360 *    195304 *       135 * 189432428 *
*  4190962 *    194315 *       444 * 534378408 *
*  4192884 *    194789 *       143 * 196382885 *
*  4198074 *    196218 *       681 * 969477420 *
*  4198539 *    194076 *       296 * 314881747 *
*  4198805 *    194315 *       225 * 293372734 *
*  4203558 *    196452 *       149 * 151902760 *
*  4203746 *    196452 *       151 * 157353305 *
*  4205737 *    194424 *       358 * 518921220 *
*  4206206 *    194424 *       369 * 535096502 *
*  4207229 *    194631 *       178 * 273598633 *
*  4207630 *    194735 *       127 * 152198851 *
*  4210292 *    194428 *       168 * 178960809 *
*  4210660 *    194428 *        17 *  17977853 *
*  4215952 *    195757 *        47 *  75769149 *
*  4216138 *    195757 *        61 *  98486711 *
*  4216501 *    195658 *        42 *  31143243 *
*  4220532 *    194076 *       352 * 368955672 *
*  4222191 *    195540 *       232 * 313482084 *
*  4227227 *    194115 *       146 * 123064606 *
*  4228986 *    196453 *       642 * 560740565 *
*  4229349 *    196453 *       655 * 570624903 *
*  4231184 *    194076 *       480 * 482439157 *
*  4233720 *    196453 *      1067 * 938577174 *
*  4235023 *    196531 *       409 * 583298190 *
*  4240289 *    196453 *      1270 * 1.123e+09 *
*  4242285 *    196453 *      1452 * 1.280e+09 *
*  4246255 *    196453 *       167 * 158949497 *
*  4247008 *    196199 *       428 * 480415588 *
*  4249313 *    196334 *       306 * 473404956 *
*  4249892 *    194076 *       369 * 384291609 *
*  4250479 *    194303 *        83 *  60406965 *
*  4250647 *    194303 *        84 *  62485650 *
*  4252721 *    194115 *       433 * 412015336 *
*  4255815 *    195390 *       379 * 293740330 *
*  4256203 *    195530 *       111 * 175905947 *
*  4256415 *    195530 *       110 * 174993638 *
*  4257529 *    195776 *       205 * 172164952 *
*  4257783 *    195649 *       116 * 174411934 *
*  4261146 *    195397 *      1135 * 1.331e+09 *
*  4263686 *    195774 *       429 * 719250502 *
*  4265794 *    196349 *        75 *  51526009 *
*  4266076 *    196349 *        76 *  53903290 *
*  4266797 *    194076 *       467 * 470964090 *
*  4267045 *    194076 *       469 * 472902469 *
*  4269375 *    195399 *       172 * 141441275 *
*  4271145 *    195399 *       339 * 273799661 *
*  4271603 *    195399 *       358 * 288677472 *
*  4273264 *    194076 *       542 * 534333885 *
*  4273577 *    194076 *       550 * 540649761 *
*  4276746 *    194150 *       217 * 268080113 *
*  4277004 *    194210 *        38 *  38597043 *
*  4281488 *    194428 *         5 *   5572074 *
*  4283816 *    194699 *       213 * 253605922 *
*  4286233 *    195378 *       581 * 723156655 *
*  4288020 *    194076 *       538 * 531049847 *
*  4290901 *    194305 *        20 *  28811660 *
*  4303227 *    196218 *       347 * 524363261 *
*  4307477 *    194076 *       572 * 560237906 *
*  4309631 *    194428 *       352 * 356504228 *
*  4309688 *    194428 *       352 * 356093980 *
*  4310221 *    194691 *       223 * 313228727 *
*  4311566 *    194533 *       790 * 973859789 *
*  4313944 *    195776 *       418 * 334609166 *
*  4315722 *    194076 *       643 * 631696794 *
*  4315762 *    194076 *       643 * 632360439 *
*  4319467 *    194912 *      1146 * 1.610e+09 *
*  4322187 *    195304 *       184 * 252528257 *
*  4323086 *    195540 *       267 * 368952694 *
*  4323668 *    195552 *       723 * 977669246 *
*  4325409 *    194076 *       662 * 650648091 *
*  4326075 *    194076 *       711 * 697950565 *
*  4326101 *    194076 *       711 * 697395120 *
*  4326307 *    194076 *       732 * 717897495 *
*  4328055 *    195303 *       134 *  70924960 *
*  4333943 *    194480 *       362 * 319277038 *
*  4344706 *    196437 *       151 * 142749626 *
*  4345095 *    196495 *       243 * 240162896 *
*  4347459 *    195540 *       294 * 411179720 *
*  4349719 *    195868 *       174 * 287405789 *
*  4350250 *    195930 *       112 *  85225225 *
*  4351281 *    196239 *        50 *  53039563 *
*  4352568 *    194108 *        97 *  38880208 *
*  4353880 *    194424 *       245 * 344383708 *
*  4356099 *    196239 *       551 * 518960889 *
*  4357049 *    196250 *       239 * 406165475 *
*  4357105 *    196250 *       239 * 406135701 *
*  4357371 *    196250 *       378 * 606232868 *
*  4361337 *    196199 *       184 * 221217590 *
*  4362405 *    196334 *       220 * 328734015 *
*  4365737 *    194424 *       227 * 314785309 *
*  4368243 *    195397 *        58 *  96889950 *
*  4369550 *    195397 *       607 * 827106153 *
*  4372386 *    194108 *       188 * 154128980 *
*  4375287 *    196239 *       150 * 155020053 *
*  4377436 *    194108 *       133 *  85685207 *
*  4377752 *    194631 *         3 *   3018746 *
*  4379167 *    194225 *        50 *  58249576 *
*  4391205 *    195398 *       657 * 565357332 *
*  4393908 *    196200 *        63 *  58125506 *
*  4394508 *    196239 *       186 * 191261390 *
*  4395123 *    196239 *       232 * 236038710 *
*  4397938 *    196239 *       848 * 752517989 *
*  4399927 *    194644 *       302 * 310759490 *
*  4404610 *    194225 *       114 * 132339894 *
*  4405162 *    194533 *       588 * 782942078 *
*  4407182 *    195930 *         4 *   3047745 *
*  4407634 *    195915 *        92 * 167923860 *
*  4408360 *    195915 *       550 * 828529752 *
*  4411687 *    196349 *       207 * 302560517 *
*  4413681 *    194108 *       564 * 553301045 *
*  4413730 *    194108 *       564 * 553574604 *
*  4413852 *    194108 *       574 * 562754381 *
*  4413984 *    194108 *       575 * 564278022 *
*  4414708 *    195378 *       653 * 800934314 *
*  4416854 *    195552 *       276 * 441136023 *
*  4419751 *    196197 *       456 * 685486987 *
*  4419806 *    196197 *       456 * 685757143 *
*  4430831 *    195304 *       630 * 775528160 *
*  4432360 *    194210 *       404 * 372907185 *
*  4433072 *    194199 *       282 * 257139627 *
*  4435662 *    194108 *       342 * 329575259 *
*  4436170 *    194108 *       675 * 655342924 *
*  4436490 *    194108 *       682 * 661229053 *
*  4437896 *    194711 *       233 * 207252835 *
*  4441741 *    195930 *         5 *   3611872 *
*  4445893 *    194314 *        98 * 100735088 *
*  4446398 *    194424 *       328 * 473206324 *
*  4447663 *    194429 *       968 * 830179122 *
*  4449821 *    195303 *       180 * 156792656 *
*  4450037 *    195303 *       186 * 167132200 *
*  4450717 *    195304 *       259 * 343624637 *
*  4451573 *    196218 *       130 * 160748650 *
*  4457161 *    194429 *       678 * 609166971 *
*  4458223 *    196197 *       379 * 575127942 *
*  4460505 *    194424 *       152 * 185119430 *
*  4460607 *    194424 *       152 * 183817386 *
*  4464659 *    194108 *       410 * 400570521 *
*  4468152 *    194314 *       258 * 365233950 *
*  4468240 *    194314 *       258 * 364984033 *
*  4476159 *    194150 *       129 * 148010036 *
*  4476291 *    194150 *       141 * 165704442 *
*  4479231 *    194108 *       488 * 479602737 *
*  4479962 *    194108 *       558 * 547870534 *
*  4480989 *    194115 *       557 * 528173396 *
*  4485812 *    196453 *      1388 * 1.225e+09 *
*  4486598 *    196453 *      1576 * 1.383e+09 *
*  4489986 *    195013 *       412 * 614810925 *
*  4492124 *    194424 *       701 * 964551344 *
*  4496455 *    194619 *        57 * 100403796 *
*  4497873 *    195378 *       573 * 713612314 *
*  4498776 *    196197 *       341 * 518259158 *
*  4500419 *    196239 *       410 * 398950337 *
*  4501365 *    196239 *       453 * 436567064 *
*  4501413 *    196239 *       453 * 436687702 *
