Run Event #
191226 1394261412 1076
190738 285215514 315
191264 164661117 157
191247 584763246 414
191247 741227485 542
190705 32221914 35
190705 189629792 160
191046 58236825 49
191062 359514244 332
191062 459216868 435
191062 373721420 346
191062 373032824 346
191062 403560152 377
191277 380316836 399
191830 241251752 174
191226 470361760 340
191247 795571017 588
191247 919491953 697
191810 101870662 64
191856 25594968 32
191856 25884313 32
191856 30727995 38
191856 63673838 75
191226 586204404 418
191833 106454910 82
191090 33711520 37
191226 1332098108 1018
191247 438397602 301
191264 63748946 84
191833 2991998 6
193621 142355241 169
193621 157573609 183
193621 173076278 198
191046 55404603 47
191057 126076 1
191833 12275614 13
191277 141592945 141
191226 90262898 111
191277 3218867 7
191277 62693121 63
191277 63044332 63
191062 440183554 415
191062 478968636 455
191247 228044961 152
191247 255021828 170
191226 275626096 218
193207 59466359 131
191226 436161552 317
191830 211623195 157
191830 298452118 207
191830 462603380 307
191834 230646675 191
191271 154225062 158
191226 1292242040 982
193621 926365863 1131
193621 942485984 1156
193621 973235543 1205
193621 973682986 1205
193556 16297366 47
193556 24903119 55
193556 39353425 68
191226 1944857511 1665
191226 1945433666 1666
191810 83322470 53
191247 201451345 134
191247 218625004 146
191248 78474021 96
191720 15931117 18
193575 48980266 88
193575 78135127 118
193575 102815030 144
193575 103235087 145
193575 162212324 214
193575 295395495 380
191277 138672268 138
193336 580382481 815
193541 71053233 152
193541 108964154 200
191277 627823273 718
191277 694126684 810
191718 197749896 160
191830 69573903 81
191830 68144660 81
193336 27678327 34
193336 27669277 34
193336 72375793 90
191834 113255210 93
191834 184649439 152
191834 238526307 197
191830 528854891 350
191830 519732253 344
191834 33984415 30
191834 68927748 57
193541 36330614 110
193541 68612997 149
193541 206136158 331
193541 206345305 331
191247 618552493 441
193621 349018594 376
191247 1305379504 1079
193621 1011678802 1267
193621 387218887 418
193621 429955956 466
193621 499153029 552
193621 533565186 593
193621 549390978 612
193621 587289323 658
193621 588076519 659
193621 1016272993 1274
191830 143411935 120
191226 188185344 166
191247 1431212802 1221
193621 1111460121 1434
193621 1118916452 1447
191271 132129026 142
191271 150137997 155
191834 316822092 266
191834 335027312 282
191834 378526317 322
193557 4056674 5
193557 62246363 65
191247 450412145 310
191247 569613019 402
191264 84621233 99
193575 18900704 57
191226 1578989330 1259
190705 102029663 100
191062 294683584 268
191062 542407045 524
191718 199655493 161
191277 703010065 823
191277 713304420 838
191046 145325142 107
191046 218256226 159
193621 171643250 196
193621 171216185 196
193621 820223995 972
193621 1081069519 1382
193621 1089623731 1397
193621 1150642196 1503
191247 132486180 85
191720 108891442 115
191202 163453924 97
193336 482631362 689
191057 2017495 6
191226 1703835987 1391
191226 1703981778 1391
191833 48775245 40
191226 1208960053 907
190738 298808466 331
191226 1336635842 1022
191226 1427183637 1108
191247 196740434 131
191057 19958406 21
191057 52411012 48
191226 473040802 341
191277 84514777 84
191062 160787290 143
193207 21010216 72
193207 32079011 89
193336 433563660 629
191062 219333744 197
191062 315824849 289
191062 452209636 427
191062 452412449 427
191062 452716087 428
191277 60450068 61
191277 133919418 133
191277 219811445 221
191277 293332065 300
191277 365143154 381
191226 1224422928 921
191247 124600338 80
191226 486065969 350
191226 477438102 344
191830 415641632 277
191226 1020310344 748
191247 48434020 33
191226 1406463664 1088
191247 90724918 59
191226 1933184952 1651
191247 426731210 293
193556 56219283 83
191720 50300972 50
191720 51177172 51
193575 142880796 189
193575 144222720 190
191720 37868952 38
191720 38514985 39
191720 49470104 49
191720 48984561 49
193575 90901341 132
193575 110387490 153
193575 111628424 154
193575 121169535 165
193575 121261096 165
191277 197584469 198
191277 241808313 244
191277 272936220 278
191277 341038582 354
193336 290917293 399
191834 403097343 345
191247 1213939605 982
191247 1270163369 1041
191247 1300855104 1074
193621 168037834 193
193336 134781424 172
193336 147228293 189
193336 208802739 276
193336 234513651 313
193541 77418570 160
193541 120503093 215
193541 259435346 408
191247 1134003392 902
191721 31302699 46
191721 44443224 64
193575 544923285 734
191247 1201597391 970
191720 144060652 156
191859 6117617 11
191859 7244346 12
193621 839858814 1000
193621 1079088647 1379
191830 235633935 171
191830 236553030 171
191226 547212515 391
191271 90950923 111
191271 91685484 112
191271 96181758 115
191834 172661385 142
191226 1018916040 747
191248 61235070 75
191226 1033768383 759
193575 34161227 73
193575 35442979 74
191226 1552459919 1232
191226 1591316226 1272
190705 169649964 146
191277 485305923 524
191277 709688145 832
191062 430492420 405
190705 107257371 104
191277 195324279 195
191277 327457124 338
193336 58013258 72
191046 283792402 210
191830 313403001 215
193621 393811846 426
193621 518423116 575
193621 519501664 576
193621 625215245 706
191247 882435570 664
191247 919847230 698
191720 113544841 120
193575 328552112 424
193575 336648644 435
193575 336937143 435
191247 375980657 256
191247 378618759 258
191247 414312706 284
191247 387811395 264
190738 304607257 338
191226 1486296451 1166
191062 236300642 212
191062 291780123 265
191062 298368049 272
191062 354644912 327
191062 445730207 420
191062 525307683 505
191062 546848718 529
193336 465500820 668
193336 465462595 668
193336 539703780 762
193336 588440717 826
191226 265069859 211
191247 39022170 28
191247 51919292 35
191226 532670194 381
191226 793676055 567
191830 409950347 273
191834 266486508 222
191834 267287472 222
191834 268408842 223
191264 80567263 96
191226 852485726 612
191226 1135409130 844
191226 1135863833 844
191226 1261169063 954
193557 54757260 57
193621 672473167 767
193621 776876627 909
193621 875505511 1053
191856 52788601 63
191856 68423194 80
191247 913088769 692
193575 115032542 158
193575 126074612 170
193575 390094970 508
193621 1224622512 1637
191264 83854556 98
191830 482162436 319
191277 216885242 218
191718 95657483 85
191718 144649130 120
191718 144444534 120
191718 141834964 118
193336 167805295 217
193336 172873327 224
191834 123836270 101
191834 130626498 107
191834 255354755 212
191834 341775157 288
193541 117226007 211
193541 219456208 350
191247 1063104152 832
191720 133707501 144
191721 26570382 39
191859 64648324 85
191859 65574324 86
191859 96673889 126
193575 70850518 110
193575 546330317 736
193621 285798508 309
193621 499051996 551
193621 545236051 607
