
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Muons/Jun11Mu/SingleMu-Run2012C-24Aug2012_nominal.root 1
total events =  256 , cuts: trigSigMuNonIso_path==1 && lepEt > 45. && lepIso < 0.12 && isMuTight && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*   159094 *    198271 *       386 * 463343711 *
*   159179 *    198271 *       643 * 743424877 *
*   163866 *    198272 *       434 * 388485045 *
*   164044 *    198272 *       480 * 425876413 *
*   164111 *    198272 *       510 * 449334272 *
*   164267 *    198272 *       525 * 461657364 *
*   169535 *    198269 *       119 * 193140612 *
*   169965 *    198485 *       138 * 134535868 *
*   177649 *    198212 *       366 * 251011373 *
*   178794 *    198487 *       690 * 782904607 *
*   179973 *    198210 *       121 *  81115385 *
*   182113 *    198522 *        99 *  67202698 *
*   182377 *    198271 *       361 * 436463304 *
*   183598 *    198487 *      1018 * 1.099e+09 *
*   183789 *    198487 *      1024 * 1.104e+09 *
*   184862 *    198272 *       114 * 109142438 *
*   184958 *    198212 *         4 *   2149841 *
*   188065 *    198230 *       619 * 601858038 *
*   189732 *    198487 *      1414 * 1.429e+09 *
*   190276 *    198522 *       172 * 178437973 *
*   192268 *    198230 *       825 * 754797377 *
*   192479 *    198230 *       537 * 535825034 *
*   193035 *    198230 *       629 * 609276781 *
*   194510 *    198485 *       158 * 166436217 *
*   194955 *    198485 *       134 * 128808768 *
*   195208 *    198485 *       220 * 256397505 *
*   198629 *    198487 *       102 * 131591984 *
*   198768 *    198487 *       137 * 174498881 *
*   199108 *    198487 *       856 * 948648587 *
*   203137 *    198271 *        50 *  67061066 *
*   203181 *    198271 *        50 *  66563063 *
*   203512 *    198271 *        88 * 116686057 *
*   204541 *    198230 *      1242 * 1.019e+09 *
*   207849 *    198230 *       373 * 393503221 *
*   208185 *    198272 *       385 * 348799875 *
*   209705 *    198487 *       300 * 360781188 *
*   213201 *    198269 *       163 * 257225766 *
*   213475 *    198269 *       176 * 275892098 *
*   214341 *    198487 *       592 * 677978667 *
*   214470 *    198487 *      1247 * 1.296e+09 *
*   217151 *    198487 *       791 * 885562904 *
*   221372 *    198271 *       764 * 869700648 *
*   221574 *    198271 *       776 * 881603007 *
*   221751 *    198271 *       790 * 895799013 *
*   225255 *    198208 *        45 *  35897844 *
*   225648 *    198212 *        72 *  41596650 *
*   226460 *    198212 *       393 * 276952901 *
*   228334 *    198230 *       332 * 355117082 *
*   228940 *    198272 *       394 * 356239454 *
*   229550 *    198230 *        21 *  25917772 *
*   230130 *    198212 *       475 * 355791040 *
*   232629 *    198207 *        37 *  33002894 *
*   233084 *    198230 *       172 * 194798624 *
*   233952 *    198487 *       714 * 807004605 *
*   234043 *    198487 *       759 * 852531414 *
*   235140 *    198271 *       172 * 222090103 *
*   235634 *    198271 *       687 * 789993979 *
*   237828 *    198230 *       104 * 120823703 *
*   239042 *    198485 *       194 * 219159108 *
*   241370 *    198208 *        85 *  66961631 *
*   242158 *    198212 *        43 *  25050842 *
*   247741 *    198487 *       290 * 349830771 *
*   248921 *    198487 *       111 * 142252331 *
*   250863 *    198272 *       546 * 477784353 *
*   252129 *    198208 *         4 *   2534501 *
*   252225 *    198208 *        12 *   9599438 *
*   253090 *    198212 *       205 * 116048493 *
*   253652 *    198230 *       706 * 668655271 *
*   254588 *    198487 *       508 * 583387757 *
*   255715 *    198487 *      1133 * 1.200e+09 *
*   256664 *    198271 *        60 *  79733070 *
*   259845 *    198210 *       114 *  76476552 *
*   262157 *    198372 *        72 *  28949256 *
*   262559 *    198272 *       420 * 377419201 *
*   262947 *    198272 *       474 * 421421868 *
*   262982 *    198272 *       475 * 422036767 *
*   264272 *    198208 *        88 *  69757961 *
*   264503 *    198208 *       149 * 115579737 *
*   266130 *    198522 *        71 *  23117587 *
*   266650 *    198372 *        69 *  24992342 *
*   274828 *    198212 *       571 * 445080710 *
*   276835 *    198272 *       308 * 282661884 *
*   277720 *    198269 *       150 * 238120737 *
*   278439 *    198485 *       200 * 228114386 *
*   280272 *    198272 *        71 *  68433381 *
*   280407 *    198272 *       589 * 510701670 *
*   284010 *    198210 *       111 *  74434495 *
*   284575 *    198230 *       792 * 731460599 *
*   285724 *    198272 *       258 * 238211051 *
*   288171 *    198485 *        79 *  41249075 *
*   289566 *    198485 *       119 * 106036051 *
*   294844 *    198230 *       497 * 502817184 *
*   296356 *    198269 *         6 *   8842381 *
*   298147 *    198522 *        90 *  53891469 *
*   300562 *    198230 *        37 *  44107863 *
*   300734 *    198230 *        50 *  59837332 *
*   303079 *    198522 *       199 * 216692519 *
*   303815 *    198230 *       758 * 706621728 *
*   303880 *    198230 *       640 * 618138637 *
*   304050 *    198230 *       722 * 680514119 *
*   305442 *    198271 *        58 *  77077702 *
*   310836 *    198230 *       521 * 522705447 *
*   310894 *    198230 *       522 * 523295048 *
*   312745 *    198372 *        77 *  37485274 *
*   312944 *    198487 *       753 * 847115452 *
*   313171 *    198487 *       772 * 865669796 *
*   317452 *    198272 *       353 * 320992371 *
*   317999 *    198272 *       427 * 383363564 *
*   319183 *    198271 *       740 * 844951718 *
*   319493 *    198212 *       190 * 107885765 *
*   320161 *    198212 *       373 * 258120204 *
*   323393 *    198230 *       270 * 294771554 *
*   323414 *    198230 *       272 * 296995083 *
*   323940 *    198487 *       129 * 164777355 *
*   324238 *    198487 *       951 * 1.039e+09 *
*   324275 *    198487 *       952 * 1.039e+09 *
*   325106 *    198487 *       435 * 501115050 *
*   325333 *    198487 *      1591 * 1.562e+09 *
*   326613 *    198271 *       154 * 200360372 *
*   329960 *    198522 *       101 *  70442542 *
*   331943 *    198271 *        70 *  93309694 *
*   334115 *    198271 *       773 * 879396102 *
*   335256 *    198485 *       114 *  98590900 *
*   335789 *    198271 *        93 * 123634841 *
************************************************
==> 256 selected entries
/Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Muons/Jun11Mu/SingleMu-Run2012A-06Aug2012_nominal.root 1
total events =  46 , cuts: trigSigMuNonIso_path==1 && lepEt > 45. && lepIso < 0.12 && isMuTight && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
************************************************
*      624 *    190782 *       395 * 494143454 *
*     2715 *    190895 *       854 * 848990095 *
*     4967 *    190782 *       349 * 436700427 *
*     5441 *    190782 *       409 * 510702495 *
*     5988 *    190895 *       251 * 265497148 *
*     7195 *    190782 *       386 * 483623826 *
*     7441 *    190782 *       109 * 101830528 *
*     7530 *    190782 *       134 * 140358601 *
*     7906 *    190782 *       220 * 264775492 *
*     8378 *    190782 *        62 *  25297254 *
*     8656 *    190782 *       128 * 130943061 *
*    11349 *    190782 *       376 * 470786703 *
*    13734 *    190895 *       819 * 820276060 *
*    16100 *    190895 *       338 * 365922025 *
*    17049 *    190895 *       591 * 619609588 *
*    17077 *    190895 *       592 * 620361151 *
*    17304 *    190895 *       627 * 652944835 *
*    17347 *    190895 *       628 * 654150317 *
*    17954 *    190895 *       896 * 883012680 *
*    22939 *    190906 *       223 * 216727110 *
*    23689 *    190945 *       131 *  46234680 *
*    24432 *    190782 *       152 * 166295890 *
*    24761 *    190782 *       203 * 240843247 *
*    25422 *    190782 *       123 * 122241557 *
*    26265 *    190782 *       321 * 400984946 *
*    26302 *    190782 *       321 * 400410854 *
*    26952 *    190895 *       358 * 387811527 *
*    30557 *    190906 *       193 * 179382620 *
*    34428 *    190782 *       208 * 247372835 *
*    34507 *    190782 *       243 * 296832982 *
*    34693 *    190782 *       278 * 343909876 *
